game_date,home_team,away_team,home_win,espn_pregame_home,espn_final_home,espn_wp_min,espn_wp_max,espn_lead_changes,espn_total_plays,espn_q1_end_wp,espn_q1_end_home_score,espn_q1_end_away_score,espn_q2_end_wp,espn_q2_end_home_score,espn_q2_end_away_score,espn_q3_end_wp,espn_q3_end_home_score,espn_q3_end_away_score,espn_q4_end_wp,model_home_prob,pm_pregame_home
2025-10-21,Oklahoma City Thunder,Houston Rockets,1,0.6,1.0,0.114,1.0,54.0,595.0,0.572,24.0,25.0,0.347,51.0,57.0,0.316,75.0,79.0,0.5,,
2025-10-21,Los Angeles Lakers,Golden State Warriors,0,0.564,0.0,0.0,0.614,15.0,477.0,0.37,22.0,28.0,0.492,54.0,55.0,0.091,79.0,90.0,0.0,,
2025-10-22,Orlando Magic,Miami Heat,1,0.706,1.0,0.091,1.0,22.0,518.0,0.623,38.0,39.0,0.723,69.0,65.0,0.513,90.0,91.0,1.0,0.4972,
2025-10-22,Charlotte Hornets,Brooklyn Nets,1,0.616,1.0,0.519,1.0,0.0,543.0,0.746,38.0,32.0,0.946,77.0,60.0,0.963,111.0,97.0,1.0,0.6133,
2025-10-22,New York Knicks,Cleveland Cavaliers,1,0.46,1.0,0.335,1.0,11.0,505.0,0.745,33.0,23.0,0.899,65.0,50.0,0.492,87.0,87.0,1.0,0.5272,
2025-10-22,Boston Celtics,Philadelphia 76ers,0,0.514,0.0,0.0,0.955,29.0,503.0,0.561,28.0,26.0,0.3,51.0,57.0,0.915,86.0,75.0,0.0,0.537,
2025-10-22,Atlanta Hawks,Toronto Raptors,0,0.688,0.0,0.0,0.725,9.0,541.0,0.584,34.0,36.0,0.382,59.0,65.0,0.002,87.0,110.0,0.0,0.4533,
2025-10-22,Chicago Bulls,Detroit Pistons,1,0.426,1.0,0.386,1.0,3.0,535.0,0.845,35.0,19.0,0.889,64.0,49.0,0.966,94.0,79.0,1.0,0.413,
2025-10-22,Milwaukee Bucks,Washington Wizards,1,0.79,0.999,0.787,1.0,0.0,489.0,0.957,40.0,23.0,0.951,57.0,42.0,0.893,99.0,90.0,0.999,,
2025-10-22,Memphis Grizzlies,New Orleans Pelicans,1,0.652,1.0,0.104,1.0,16.0,558.0,0.52,27.0,30.0,0.211,56.0,67.0,0.859,97.0,89.0,1.0,0.6376,
2025-10-22,Utah Jazz,LA Clippers,1,0.262,1.0,0.252,1.0,3.0,461.0,0.91,43.0,19.0,0.994,78.0,47.0,0.999,108.0,80.0,1.0,,
2025-10-22,Dallas Mavericks,San Antonio Spurs,0,0.526,0.0,0.0,0.684,13.0,508.0,0.557,29.0,28.0,0.226,51.0,60.0,0.004,72.0,93.0,0.0,0.3657,
2025-10-22,Portland Trail Blazers,Minnesota Timberwolves,0,0.421,0.0,0.0,0.873,36.0,520.0,0.489,35.0,33.0,0.59,61.0,57.0,0.795,95.0,88.0,0.0,0.5297,
2025-10-22,Phoenix Suns,Sacramento Kings,1,0.577,1.0,0.048,1.0,4.0,517.0,0.276,19.0,29.0,0.076,54.0,71.0,0.356,85.0,89.0,1.0,0.3956,
2025-10-23,Indiana Pacers,Oklahoma City Thunder,0,0.387,0.0,0.0,0.88,70.0,638.0,0.51,25.0,22.0,0.23,47.0,54.0,0.329,78.0,81.0,0.5,0.4564,
2025-10-23,Golden State Warriors,Denver Nuggets,1,0.457,1.0,0.063,1.0,27.0,477.0,0.35,27.0,31.0,0.128,56.0,68.0,0.556,91.0,89.0,0.5,0.5646,
2025-10-24,Orlando Magic,Atlanta Hawks,0,0.65,0.0,0.0,0.953,7.0,518.0,0.577,24.0,25.0,0.862,61.0,51.0,0.859,86.0,78.0,0.0,0.5262,
2025-10-24,Toronto Raptors,Milwaukee Bucks,0,0.583,0.0,0.0,0.826,23.0,497.0,0.315,19.0,27.0,0.605,54.0,52.0,0.518,86.0,86.0,0.0,0.4586,
2025-10-24,Brooklyn Nets,Cleveland Cavaliers,0,0.206,0.0,0.0,0.393,0.0,493.0,0.088,23.0,34.0,0.079,51.0,63.0,0.001,86.0,108.0,0.0,0.3629,
2025-10-24,New York Knicks,Boston Celtics,1,0.623,1.0,0.356,1.0,18.0,486.0,0.369,22.0,30.0,0.969,64.0,44.0,0.984,82.0,65.0,1.0,0.6396,
2025-10-24,New Orleans Pelicans,San Antonio Spurs,0,0.411,0.45,0.0,0.886,20.0,569.0,0.341,27.0,30.0,0.434,54.0,55.0,0.292,65.0,70.0,0.45,0.4001,
2025-10-24,Memphis Grizzlies,Miami Heat,0,0.616,0.0,0.0,0.703,3.0,526.0,0.115,25.0,44.0,0.003,47.0,86.0,0.001,76.0,112.0,0.0,0.415,
2025-10-24,Houston Rockets,Detroit Pistons,0,0.678,0.168,0.0,0.78,65.0,550.0,0.628,31.0,32.0,0.523,38.0,41.0,0.497,86.0,87.0,0.168,0.4057,
2025-10-24,Dallas Mavericks,Washington Wizards,0,0.712,0.0,0.0,0.916,15.0,518.0,0.811,35.0,28.0,0.395,52.0,58.0,0.065,78.0,91.0,0.0,0.3472,
2025-10-24,Portland Trail Blazers,Golden State Warriors,1,0.407,1.0,0.214,1.0,15.0,532.0,0.423,28.0,28.0,0.85,69.0,56.0,0.926,103.0,91.0,1.0,0.5396,
2025-10-24,Sacramento Kings,Utah Jazz,1,0.647,1.0,0.134,1.0,16.0,458.0,0.691,21.0,18.0,0.679,49.0,46.0,0.74,73.0,69.0,1.0,0.4099,
2025-10-24,Los Angeles Lakers,Minnesota Timberwolves,1,0.487,1.0,0.216,1.0,9.0,462.0,0.386,36.0,40.0,0.665,68.0,63.0,0.958,108.0,94.0,1.0,0.5329,
2025-10-24,LA Clippers,Phoenix Suns,1,0.711,1.0,0.433,1.0,6.0,458.0,0.696,34.0,33.0,0.949,72.0,56.0,0.999,100.0,70.0,1.0,0.592,
2025-10-25,Orlando Magic,Chicago Bulls,0,0.672,0.0,0.0,0.784,17.0,522.0,0.652,30.0,29.0,0.482,49.0,52.0,0.392,80.0,83.0,0.0,0.3676,
2025-10-25,Philadelphia 76ers,Charlotte Hornets,1,0.694,1.0,0.043,1.0,22.0,518.0,0.805,31.0,24.0,0.776,50.0,44.0,0.127,86.0,96.0,1.0,0.4796,
2025-10-25,Atlanta Hawks,Oklahoma City Thunder,0,0.351,0.0,0.0,0.397,0.0,485.0,0.253,26.0,31.0,0.262,55.0,60.0,0.007,80.0,99.0,0.0,0.3569,
2025-10-25,Memphis Grizzlies,Indiana Pacers,1,0.499,1.0,0.446,1.0,3.0,524.0,0.6,6.0,3.0,0.763,60.0,52.0,0.99,103.0,84.0,1.0,0.6345,
