Date,Home,Away,season,ML_Home,ML_Away,Win_Margin,market_home,market_away,model_home_prob,model_away_prob,edge_home,edge_away,home_won,bet_side,bet_edge,model_prob,entry_price,bet_won,opp_won,is_favorite,home_q1_pts,away_q1_pts,q1_diff_home,q1_diff_bet,est_q1_bet_price,est_q1_opp_price
2012-10-30,Miami Heat,Boston Celtics,2012-13,-280,240,13,0.7368421052631579,0.29411764705882354,,,,,1,none,0.0,0.0,0.0,,,False,31.0,25.0,6.0,,,
2012-10-30,Cleveland Cavaliers,Washington Wizards,2012-13,-250,210,10,0.7142857142857143,0.3225806451612903,,,,,1,none,0.0,0.0,0.0,,,False,31.0,24.0,7.0,,,
2012-10-30,Los Angeles Lakers,Dallas Mavericks,2012-13,-500,400,-8,0.8333333333333334,0.2,,,,,0,none,0.0,0.0,0.0,,,False,29.0,25.0,4.0,,,
2012-10-31,Detroit Pistons,Houston Rockets,2012-13,-135,115,-9,0.574468085106383,0.46511627906976744,,,,,0,none,0.0,0.0,0.0,,,False,22.0,27.0,-5.0,,,
2012-10-31,Philadelphia 76ers,Denver Nuggets,2012-13,110,-130,9,0.47619047619047616,0.5652173913043478,,,,,1,none,0.0,0.0,0.0,,,False,25.0,22.0,3.0,,,
2012-10-31,Portland Trail Blazers,Los Angeles Lakers,2012-13,115,-135,10,0.46511627906976744,0.574468085106383,,,,,1,none,0.0,0.0,0.0,,,False,30.0,26.0,4.0,,,
2012-10-31,LA Clippers,Memphis Grizzlies,2012-13,-175,155,9,0.6363636363636364,0.39215686274509803,,,,,1,none,0.0,0.0,0.0,,,False,26.0,24.0,2.0,,,
2012-10-31,Toronto Raptors,Indiana Pacers,2012-13,100,-120,-2,0.5,0.5454545454545454,,,,,0,none,0.0,0.0,0.0,,,False,25.0,27.0,-2.0,,,
2012-10-31,Utah Jazz,Dallas Mavericks,2012-13,-400,330,19,0.8,0.23255813953488372,,,,,1,none,0.0,0.0,0.0,,,False,25.0,26.0,-1.0,,,
2012-10-31,New Orleans Pelicans,San Antonio Spurs,2012-13,255,-305,-4,0.28169014084507044,0.7530864197530864,,,,,0,none,0.0,0.0,0.0,,,False,31.0,28.0,3.0,,,
2012-10-31,Phoenix Suns,Golden State Warriors,2012-13,-140,120,-2,0.5833333333333334,0.45454545454545453,,,,,0,none,0.0,0.0,0.0,,,False,21.0,25.0,-4.0,,,
